,Date,Open,High,Low,Close,Volume,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages
37,2009-10-06,26.82,27.144284999999996,26.757143,27.144284999999996,151271400,1.65,1.28,0.37,5,1,5.0,17
38,2009-10-07,27.108572,27.221428000000003,27.004285999999997,27.178571999999996,116417000,0.62,0.0,0.62,2,0,0.0,14
39,2009-10-08,27.237143,27.35,26.984284999999996,27.038572,109552800,0.0,0.0,0.0,0,0,0.0,14
40,2009-10-09,26.995714000000003,27.242857,26.945715000000003,27.209999,73318000,2.0,2.43,-0.43,1,1,1.0,9
41,2009-10-12,27.288572,27.358572,27.091428999999998,27.258571999999997,72006200,1.87,0.0,1.87,2,0,0.0,7
42,2009-10-13,27.232857,27.309998999999998,27.1,27.145714,87005100,1.07,2.13,-1.06,3,2,1.5,17
43,2009-10-14,27.464284999999997,27.474285,27.175714000000003,27.327143,93877700,0.0,0.62,-0.62,0,4,0.0,14
44,2009-10-15,27.09,27.274286,27.075714,27.222857,93389100,0.0,0.0,0.0,0,0,0.0,11
45,2009-10-16,27.049999,27.194285999999998,26.834286,26.864286,107856700,1.57,1.03,0.54,5,1,5.0,14
46,2009-10-19,26.835714000000003,27.142857,26.507143,27.122858,235557700,1.81,1.78,0.03,26,19,1.37,106
47,2009-10-20,28.657142999999998,28.821428000000004,28.264286,28.394284999999996,285259800,1.69,1.73,-0.04,12,9,1.33,40
48,2009-10-21,28.502857000000002,29.815714,28.461428,29.274286,298431700,1.51,1.81,-0.3,6,5,1.2,23
49,2009-10-22,29.242857,29.692858,28.93,29.314284999999998,197848000,1.74,2.04,-0.3,16,13,1.23,45
50,2009-10-23,29.385714,29.4,29.032858,29.134285,105196700,1.57,1.47,0.1,6,3,2.0,13
51,2009-10-26,29.095715000000002,29.535715000000003,28.585714000000003,28.925714000000003,121084600,1.92,2.1,-0.18,1,1,1.0,4
52,2009-10-27,28.808571,28.972857,28.064284999999998,28.195715000000003,189137900,0.64,2.29,-1.65,4,3,1.33,24
53,2009-10-28,28.244286,28.288572,27.299999,27.485714,204596700,1.48,1.78,-0.3,4,2,2.0,12
54,2009-10-29,27.857143,28.115715,27.448572,28.049999,142567600,1.6,2.06,-0.46,1,3,0.33,14
55,2009-10-30,28.008571999999997,28.114286,26.881428000000003,26.928571999999996,179381300,2.35,0.71,1.64,2,1,2.0,5
56,2009-11-02,27.114286,27.554284999999997,26.51,27.044285,169745800,1.74,1.59,0.15,5,5,1.0,17
57,2009-11-03,26.835714000000003,27.074285999999997,26.559998999999998,26.964284999999997,130635400,1.71,2.2,-0.49,4,3,1.33,12
58,2009-11-04,27.247142999999998,27.692858,27.175714000000003,27.258571999999997,121882600,1.78,0.89,0.89,4,3,1.33,15
59,2009-11-05,27.485714,27.857143,27.402857,27.718571,96200300,0.0,2.5,-2.5,0,1,0.0,6
60,2009-11-06,27.501428999999998,27.884285,27.485714,27.762857,73774400,0.0,0.0,0.0,0,0,0.0,8
61,2009-11-09,28.134285,28.842857000000002,28.037144,28.780001000000002,132213900,1.83,0.0,1.83,4,0,0.0,12
62,2009-11-10,28.717142,29.282858,28.715714000000002,28.997142999999998,100298800,1.87,1.92,-0.05,3,7,0.43,16
63,2009-11-11,29.222857,29.285715000000003,28.832857,29.035715000000003,110967500,2.61,3.44,-0.83,2,1,2.0,13
64,2009-11-12,29.02,29.267143,28.775715,28.855715000000004,90932800,0.88,2.09,-1.21,5,5,1.0,21
65,2009-11-13,28.981428,29.261428999999996,28.867144,29.207144,85810200,1.52,0.0,1.52,3,0,0.0,7
66,2009-11-16,29.354286,29.714284999999997,29.287144,29.518572,121301600,1.62,0.0,1.62,3,0,0.0,8
67,2009-11-17,29.440001000000002,29.634285,29.285715000000003,29.571428000000004,99128400,0.0,2.22,-2.22,0,6,0.0,13
68,2009-11-18,29.505714,29.571428000000004,29.142857,29.422857,93580200,1.91,0.0,1.91,2,0,0.0,12
69,2009-11-19,29.23,29.23,28.542856,28.644284999999996,135581600,1.45,2.22,-0.77,7,1,7.0,18
70,2009-11-20,28.450001,28.627142,28.251428999999998,28.559998999999998,101666600,1.45,1.72,-0.27,3,10,0.3,18
71,2009-11-23,29.0,29.428571999999996,28.992857,29.411428000000004,118724200,2.07,1.99,0.08,4,1,4.0,11
72,2009-11-24,29.332857,29.411428000000004,28.985714,29.205715,79609600,0.0,0.0,0.0,0,0,0.0,2
73,2009-11-25,29.342857000000002,29.378571,29.108572,29.17,71613500,0.0,0.0,0.0,0,0,0.0,2
74,2009-11-27,28.459999,28.994286,28.338571999999996,28.655714,73814300,0.0,1.25,-1.25,0,4,0.0,12
75,2009-11-30,28.73,28.811428000000003,28.395714,28.558571,106214500,1.9,0.46,1.44,1,1,1.0,2
76,2009-12-01,28.891428,28.967142,28.118571999999997,28.138571000000002,116440800,0.67,2.79,-2.12,1,6,0.17,23
77,2009-12-02,28.422857,28.774286,27.964284999999997,28.032858,178815000,1.59,2.05,-0.46,3,2,1.5,15
78,2009-12-03,28.202858000000003,28.425714000000003,28.038572,28.068571000000002,112179900,1.83,0.0,1.83,4,0,0.0,7
79,2009-12-04,28.528571999999997,28.554284999999997,27.182858000000003,27.617144,206721200,1.46,1.68,-0.22,8,5,1.6,17
80,2009-12-07,27.617144,27.681428999999998,26.954287,26.992857,178689700,1.34,2.41,-1.07,2,3,0.67,11
81,2009-12-08,27.051428,27.478571000000002,26.957144,27.124287,172599700,1.65,1.24,0.41,8,5,1.6,26
82,2009-12-09,27.325714,28.308571,27.187143,28.257143,171195500,1.3,1.92,-0.62,12,2,6.0,30
83,2009-12-10,28.5,28.528571999999997,28.017143,28.061428000000003,122417400,0.83,1.32,-0.49,6,4,1.5,18
84,2009-12-11,28.254285999999997,28.285715000000003,27.632856,27.809998999999998,107443700,1.98,0.52,1.46,1,1,1.0,6
85,2009-12-14,27.91,28.204287,27.508571999999997,28.139999,123947600,1.87,1.99,-0.12,2,4,0.5,16
86,2009-12-15,27.975714,28.215714000000002,27.610001,27.738571000000004,104864900,1.93,2.39,-0.46,1,1,1.0,5
87,2009-12-16,27.871429,28.071428000000004,27.792856,27.861428999999998,88246200,1.94,1.65,0.29,2,2,1.0,7
88,2009-12-17,27.751428999999998,27.857143,27.285715000000003,27.408571000000002,97209700,0.31,2.5,-2.19,2,1,2.0,4
89,2009-12-18,27.595715000000002,27.928571999999996,27.514286,27.918571000000004,152192600,0.0,0.0,0.0,0,0,0.0,7
90,2009-12-21,28.007143,28.535715000000003,27.952858000000003,28.318571000000002,152976600,1.71,1.45,0.26,9,3,3.0,20
91,2009-12-22,28.491428000000003,28.692858,28.379998999999998,28.622858,87378900,1.91,1.82,0.09,2,4,0.5,13
92,2009-12-23,28.742857,28.911428000000004,28.687143,28.871429,86381400,1.76,1.33,0.43,6,4,1.5,24
93,2009-12-24,29.078571000000004,29.907142999999998,29.049999,29.862858000000003,125222300,1.7,1.49,0.21,22,10,2.2,43
94,2009-12-28,30.245714000000003,30.564284999999998,29.944285999999998,30.23,161141400,1.44,1.66,-0.22,8,5,1.6,27
95,2009-12-29,30.375713,30.388571000000002,29.818571000000002,29.871429,111301400,2.24,1.62,0.62,2,6,0.33,18
96,2009-12-30,29.832857,30.285715000000003,29.758571999999997,30.234284999999996,103021100,2.28,1.78,0.5,10,1,10.0,15
97,2009-12-31,30.447144,30.478571000000002,30.08,30.104286,88102700,1.35,1.88,-0.53,3,1,3.0,8
98,2010-01-04,30.49,30.642857,30.34,30.572857,123432400,2.19,2.49,-0.3,10,2,5.0,24
99,2010-01-05,30.657142999999998,30.798571000000003,30.464284999999997,30.625713,150476200,1.15,1.97,-0.82,6,10,0.6,33
100,2010-01-06,30.625713,30.747142999999998,30.107143,30.138571000000002,138040000,1.68,1.66,0.02,6,7,0.86,27
101,2010-01-07,30.25,30.285715000000003,29.864286,30.082857,119282800,1.5,0.87,0.63,3,2,1.5,14
102,2010-01-08,30.042856,30.285715000000003,29.865715,30.282858,111902700,2.39,0.0,2.39,3,0,0.0,14
103,2010-01-11,30.4,30.428571999999996,29.778571999999997,30.015715000000004,115557400,1.77,2.05,-0.28,2,3,0.67,18
