source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date
stocktwits,AAPL,1.47,1.85,-0.38,59,51,1.16,342,24,2011/10/7
stocktwits,AAPL,2,2.26,-0.26,13,8,1.63,75,24,2011/10/8
stocktwits,AAPL,1.86,2.37,-0.51,8,3,2.67,48,24,2011/10/9
stocktwits,AAPL,1.86,1.66,0.2,84,50,1.68,311,24,2011/10/10
stocktwits,AAPL,1.72,1.78,-0.06,103,44,2.34,336,24,2011/10/11
stocktwits,AAPL,1.67,1.77,-0.1,113,64,1.77,443,24,2011/10/12
stocktwits,AAPL,1.65,1.72,-0.07,93,58,1.6,393,24,2011/10/13
stocktwits,AAPL,1.83,1.67,0.16,161,97,1.66,643,24,2011/10/14
stocktwits,AAPL,1.74,1.38,0.36,13,9,1.44,66,24,2011/10/15
stocktwits,AAPL,1.67,1.85,-0.18,18,6,3,81,24,2011/10/16
stocktwits,AAPL,1.83,1.79,0.04,195,137,1.42,674,24,2011/10/17
stocktwits,AAPL,1.72,1.84,-0.12,438,239,1.83,1902,24,2011/10/18
stocktwits,AAPL,1.68,1.73,-0.05,174,122,1.43,701,24,2011/10/19
stocktwits,AAPL,1.73,1.59,0.14,90,73,1.23,359,24,2011/10/20
stocktwits,AAPL,1.63,1.69,-0.06,101,69,1.46,407,24,2011/10/21
stocktwits,AAPL,1.26,1.6,-0.34,7,3,2.33,53,24,2011/10/22
stocktwits,AAPL,1.3,1,0.3,17,1,17,63,24,2011/10/23
stocktwits,AAPL,1.73,1.98,-0.25,84,41,2.05,270,24,2011/10/24
stocktwits,AAPL,1.67,1.72,-0.05,78,49,1.59,290,24,2011/10/25
stocktwits,AAPL,1.74,1.65,0.09,66,53,1.25,323,24,2011/10/26
stocktwits,AAPL,1.48,1.74,-0.26,83,73,1.14,329,24,2011/10/27
stocktwits,AAPL,1.54,1.73,-0.19,52,46,1.13,301,24,2011/10/28
stocktwits,AAPL,1.78,1.09,0.69,9,6,1.5,47,24,2011/10/29
stocktwits,AAPL,1.81,1.9,-0.09,5,1,5,32,24,2011/10/30
stocktwits,AAPL,1.72,1.75,-0.03,46,25,1.84,210,24,2011/10/31
stocktwits,AAPL,1.53,1.61,-0.08,50,36,1.39,236,24,2011/11/1
stocktwits,AAPL,1.84,1.78,0.06,37,40,0.93,213,24,2011/11/2
stocktwits,AAPL,1.52,1.55,-0.03,66,38,1.74,268,24,2011/11/3
stocktwits,AAPL,1.68,1.76,-0.08,40,28,1.43,196,24,2011/11/4
stocktwits,AAPL,1.32,2.11,-0.79,4,1,4,39,24,2011/11/5
stocktwits,AAPL,1.83,2.47,-0.64,5,3,1.67,54,24,2011/11/6
stocktwits,AAPL,1.69,1.31,0.38,44,28,1.57,224,24,2011/11/7
